"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPIND4","CPIND5","CPIND6","CPIND7","CPIND8","CPIND9","CPCTL1","CPIND10","CPCTL2","CPIND11","CPCTL3","CPIND12","CPCTL4","CPIND13","AuthorityType","TerritoryAssignment","Subdivision","UniqueID","TTUID","UniqueName","TimeZone","GraphicGroup","ScreenRegion","Spare01","Spare02","Spare03","Spare04","Spare05","Notes","SlotSMControlOnIndication","AllowStatusPublishing","EnableResendControlLogic","ResendControlTime","AllowAutomaticMode","AutomaticModeOn","AllowSnowMelterTimer","SnowMelterTime","AllowForceOperationsToTWC","AllowControlPointCorrelation","CorrelatingControlPointReferences","TemporalMode","CPCTL5","CPCTL6","CPCTL7","CPCTL8","CPCTL9","CPCTL10","TemporalModePointOfConflict","Milepost","MilepostSuffix","MilepostPrefix","AdditionalReferenceUID","MakeInVisible","DisableAutomaticSignalSlotting","SnowMelterTimeStampOn","TunnelAutomaticMode","TunnelAutomaticControlled","ScadaTractionPowerControlPointMode","ScadaCommunicationControlPointMode","ScadaNonReportingModeControlled","ScadaAlarmReportingIndicationBit","DevicePTCUID","ControllingWorkstation","ControllingWorkStationIPString","PTC_SiteName","PTC_SiteAddress","PTC_SecurityKey","PTC_WIUID","PTC_RailroadSCAC","PTC_UID_KEY","CPIndex","StartCompUID","ConnectingCompUID","Direction","CPCTL11","CPCTL12","CPCTL13","RailroadUniqueIdentifierName","AlarmDisabledByOffice","SnowMelterControlledBy","SnowMelterIndicateToOffice","ExpSlotTimerFlag","ExpSlotIndFlag","ExpSlotTimer","ExpSlotCPUID","ExpSlotCPIND","DisableTrackFlooding","EnablePTC"
"100010","100010","SORRENTO","N","1250","580","1615","575","0","0","0","0","0","0","5","18;1;100010","17;1;100010","20;1;100010","19;1;100010","0;1;100010","0;1;100010","0;1;100010","0;1;100010","0;1;100010","0;1;100010","0;1;100010","0;1;100010","0;0;100010;5","0;1;100010","0;0;100010;5","0;1;100010","0;0;100010;5","CTC","100","2","0","0","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100010","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100010","",,,"CP Sorrento","nctc.w.505005:40.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500540","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100011","100011","PACIFIC","N","330","315","1235","1210","0","0","0","0","0","0","5","10;1;100011","9;1;100011","13;1;100011","12;1;100011","0;1;100011","0;1;100011","0;1;100011","0;1;100011","0;1;100011","0;1;100011","0;1;100011","0;1;100011","0;0;0;0","0;1;100011","0;0;0;0","0;1;100011","0;0;0;0","CTC","100","2","0","0","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100011","","","","","","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100011","",,,"CP Pacific","nctc.w.505003:24.wiu","1335a0E9DFC77BFF270370241441407618EF2D37aB37C8E7","734050500324","NCTC","","0","0","0","","","","",,,"NOTHING","False",,,,,,,
"100012","100012","SHELL","N","130","355","735","465","0","0","0","0","0","0","5","0;1;100012","9;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;1;100012","0;0;100012;5","0;1;100012","0;0;100012;5","0;1;100012","0;0;100012;5","CTC","100","2","0","9","NULL","PACIFIC","1","7",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100012","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100012","",,,"CP Shell","nctc.w.505003:52.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500352","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100013","100013","ESCONDIDO JCT","N","595","315","930","465","0","0","0","0","0","0","5","38;1;100013","37;1;100013","39;1;100013","40;1;100013","0;1;100013","0;1;100013","0;1;100013","0;1;100013","0;1;100013","0;1;100013","0;1;100013","0;1;100013","0;0;100013;5","0;1;100013","0;0;100013;5","0;1;100013","0;0;100013;5","CTC","100","2","0","10","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100013","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100013","",,,"CP Escondido Jct","nctc.w.505003:25.wiu","1335a0E9DFC77BFF270370241441407618EF2D37aB37C8E7","734050500325","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100015","100015","SCRIPPS","N","1480","580","1345","1310","0","0","0","0","0","0","5","9;1;100015","8;1;100015","13;1;100015","11;1;100015","0;1;100015","0;1;100015","0;1;100015","0;1;100015","0;1;100015","0;1;100015","0;1;100015","0;1;100015","0;0;0;0","0;1;100015","0;0;0;0","0;1;100015","0;0;0;0","CTC","100","2","0","0","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100015","","","","","","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100015","",,,"CP Scripps","nctc.w.505005:47.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500547","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100016","100016","LONGBOARD","N","940","315","1425","650","0","0","0","0","0","0","5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;100016;5","0;0;0;0","0;0;100016;5","0;0;0;0","0;0;100016;5","0;0;0;0","0;0;100016;5","0;0;0;0","0;0;100016;5","CTC","100","2","0","11","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100016","",,,"CP Longboard","nctc.w.505003:56.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500356","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100017","100017","FARR","N","1395","315","1295","450","0","0","0","0","0","0","5","9;1;100017","8;1;100017","13;1;100017","11;1;100017","0;1;100017","0;1;100017","0;1;100017","0;1;100017","0;1;100017","0;1;100017","0;1;100017","0;1;100017","0;0;100017;0","0;1;100017","0;0;100017;0","0;1;100017","0;0;100017;0","CTC","100","2","0","13","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100017","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100017","",,,"CP Farr","nctc.w.505003:60.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500360","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100018","100018","PONTO","N","1690","315","1535","450","0","0","0","0","0","0","5","13;1;100018","9;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;1;100018","0;0;100018;0","0;1;100018","0;0;100018;0","0;1;100018","0;0;100018;0","CTC","100","2","0","14","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100018","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100018","",,,"CP Ponto","nctc.w.505004:61.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500461","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100019","100019","SWAMI","N","60","610","165","635","0","0","0","0","0","0","5","9;1;100019","8;1;100019","13;1;100019","11;1;100019","0;1;100019","0;1;100019","0;1;100019","0;1;100019","0;1;100019","0;1;100019","0;1;100019","0;1;100019","0;0;100019;0","0;1;100019","0;0;100019;0","0;1;100019","0;0;100019;0","CTC","100","2","0","15","NULL","PACIFIC","1","12",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100019","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100019","",,,"CP Swami","nctc.w.505004:62.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500462","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100020","100020","CARDIFF","N","275","610","405","635","0","0","0","0","0","0","5","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;1;100020","0;0;100020;5","0;1;100020","0;0;100020;5","0;1;100020","0;0;100020;5","CTC","100","2","0","16","NULL","PACIFIC","1","12",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100020","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100020","",,,"CP Cardiff","nctc.w.505004:63.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500463","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100022","100022","VALLEY","N","545","610","945","770","0","0","0","0","0","0","5","0;1;100022","8;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;1;100022","0;0;100022;0","0;1;100022","0;0;100022;0","0;1;100022","0;0;100022;0","CTC","100","2","0","18","NULL","PACIFIC","1","12",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100022","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100022","",,,"CP Valley","nctc.w.505004:65.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500465","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100023","100023","CROSBY","N","680","580","1015","690","0","0","0","0","0","0","5","0;1;100023","9;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;1;100023","0;0;100023;0","0;1;100023","0;0;100023;0","0;1;100023","0;0;100023;0","CTC","100","2","0","19","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100023","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100023","",,,"CP Crosby","nctc.w.505004:67.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500467","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100024","100024","DEL MAR","N","875","580","1255","690","0","0","0","0","0","0","5","0;1;100024","9;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;1;100024","0;0;100024;0","0;1;100024","0;0;100024;0","0;1;100024","0;0;100024;0","CTC","100","2","0","20","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100024","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100024","",,,"CP Del Mar","nctc.w.505004:70.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500470","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100025","100025","TORREY","N","1050","580","1370","700","0","0","0","0","0","0","5","18;1;100025","17;1;100025","20;1;100025","19;1;100025","0;1;100025","0;1;100025","0;1;100025","0;1;100025","0;1;100025","0;1;100025","0;1;100025","0;1;100025","0;0;100025;0","0;1;100025","0;0;100025;0","0;1;100025","0;0;100025;0","CTC","100","2","0","21","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100025","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100025","",,,"CP Torrey","nctc.w.505005:74.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500574","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100027","100027","MIRAMAR","N","1750","580","280","895","0","0","0","0","0","0","5","19;1;100027","18;1;100027","21;1;100027","20;1;100027","0;1;100027","0;1;100027","0;1;100027","0;1;100027","0;1;100027","0;1;100027","0;1;100027","0;1;100027","0;0;100027;0","0;1;100027","0;0;100027;0","0;1;100027","0;0;100027;0","CTC","100","2","0","23","NULL","PACIFIC","1","11",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100027","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100027","",,,"CP Miramar","nctc.w.505005:82.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500582","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
